HPF_ID,teff,std teff,logg,std logg,feh,std feh,vsini,std vsini,max_period_1_gls,max_period_1_gls_fap
99,3080.044,0.038287,5.049995,3.47E-05,-1.60E-01,6.41E-05,2.37E-01,0.122536,24.54481843,1
100,3080.054,0.129003,5.05E+00,1.13E-04,-1.60E-01,1.30E-04,2.57E-01,1.23E-01,4.744860714,1.06E-16
101,3080.061,2.56E-02,5.05E+00,2.69E-05,-1.60E-01,4.27E-05,6.91E+00,2.01E-01,0.461710735,1.60E-08
102,3080.061,0.063714,5.049988,7.03E-05,-1.60E-01,9.65E-05,2.12E-01,0.108164,7.808806022,1
103,3080.062,5.89E-02,5.05E+00,3.01E-05,-1.60E-01,5.97E-05,2.83E-01,1.11E-01,6.799649917,1
104,3080.064,1.28E+00,5.05E+00,0.000237,-1.60E-01,1.36E-03,2.67E-01,8.26E-02,3.783548887,0.0289125
105,3080.064,3.58E+00,5.05E+00,5.30E-04,-1.60E-01,3.65E-03,2.95E-01,1.37E-01,5.297038452,1
106,3080.073,1.18E+00,5.05E+00,0.001263,-1.60E-01,2.07E-03,2.58E-01,1.08E-01,7.007295484,1
107,3080.073,7.66E-02,5.05E+00,4.71E-05,-1.60E-01,4.33E-05,6.68E+00,1.21E+00,0.569621381,6.88E-20
108,3080.079,0.044049,5.049987,2.74E-05,-1.60E-01,3.42E-05,4.56E+00,0.304043,0.263684847,1.36E-33
109,3080.079,0.026127,5.049982,3.75E-05,-1.60E-01,8.14E-05,2.81E-01,0.05276,12.46603868,0.0404677
110,3080.092,0.032237,5.049974,3.83E-05,-1.60E-01,8.14E-05,2.27E-01,0.102169,6.233019934,0.888418
111,3080.093,7.76E-02,5.05E+00,2.78E-05,-1.60E-01,7.51E-05,2.90E-01,7.47E-02,13.42503782,9.48E-07
112,3080.1,3.09E-02,5.05E+00,3.65E-05,-1.60E-01,8.32E-05,2.93E-01,6.17E-01,0.721977304,0.8624277
