HPF_ID,teff,std teff,logg,std logg,feh,std feh,vsini,std vsini,max_period_1_gls,max_period_1_gls_fap,,,,,,,,,
1,3080.06,7.62E+01,5.05E+00,4.99E-02,-1.60E-01,2.72E-02,3.10E-01,1.003746,0.662117418,3.27E-05,,,,,,,,,
2,3080.135,2.13E+01,5.05E+00,0.020265,-1.60E-01,1.48E-02,1.29E+01,5.54E-01,0.378388711,1.75E-71,,,,,,,,,
3,3083.059,19.77794,5.049881,6.12E-03,-1.60E-01,2.10E-02,1.14E+01,0.162811,0.607663605,1,,,,,,,,,
4,3092.98,24.94038,5.051879,0.005979,-0.17316,0.028396,15.95287,0.649134,0.522597989,8.46E-63,,,,,,,,,
5,3100.04,2.20E+01,5.05E+00,2.82E-02,-0.16091,5.08E-02,1.51E-01,1.10E-01,5.837424157,1,,,,,,,,,
6,3101.36,20.85383,5.048723,1.92E-02,-1.60E-01,2.18E-02,1.21E+01,0.56814,0.280155768,3.63E-82,,,,,,,,,
7,3101.787,6.86E+01,5.05E+00,5.57E-02,-1.60E-01,1.03E-01,2.56E-01,7.09E-02,4.805074116,1,,,,,,,,,
8,3115.362,28.8614,5.049989,0.028004,-1.60E-01,0.048093,2.12E-01,0.126211,21.77238058,0.0013604,,,,,,,,,
9,3121.695,22.05609,5.034193,2.12E-02,-0.15445,4.72E-02,4.410519,0.963482,1.966620902,1.73E-90,,,,,,,,,
10,3124.712,17.33016,5.053891,3.23E-02,-0.18727,6.23E-02,0.242882,0.042643,4.670731319,7.91E-04,,,,,,,,,
11,3132.88,3.70E+01,5.03E+00,3.29E-02,-1.72E-01,2.42E-02,9.97E+00,7.97E-01,0.838454132,2.11E-08,,,,,,,,,
12,3142.226,24.62277,5.017607,2.12E-02,-1.51E-01,4.32E-02,2.93E+00,0.48282,14.94631905,2.41E-09,,,,,,,,,
13,3145.698,25.59139,5.024754,4.29E-02,-1.51E-01,6.88E-02,7.67E+00,1.04709,2.717119834,1.29E-55,,,,,,,,,
14,3146.557,1.47E+01,5.06E+00,2.40E-02,-2.18E-01,3.63E-02,2.39E-01,5.90E-02,12.96614533,1.00E+00,,,,,,,,,
15,3179.411,2.61E+01,5.02E+00,2.99E-02,-1.89E-01,6.09E-02,6.88E+00,3.30E-01,1.814336435,1,,,,,,,,,
16,3186.051,18.18705,5.063424,4.35E-02,-2.54E-01,7.82E-02,2.34E-01,0.124928,6.132557117,1,,,,,,,,,
17,3218.0082,32.59885,5.06991,3.37E-02,-2.85E-01,4.64E-02,1.01E+01,3.11E-01,0.324911724,1.00E+00,,,,,,,,,
18,3225.004,14.10866,5.056213,3.03E-02,-2.81E-01,4.39E-02,1.21E+00,0.25207,4.90042809,1.00E+00,,,,,,,,,
19,3238.839,11.40288,5.028969,3.78E-02,-2.43E-01,6.43E-02,2.05E+00,0.444327,8.151439727,1,,,,,,,,,
20,3238.883,2.44E+01,5.03E+00,6.60E-02,-2.23E-01,1.23E-01,2.60E-01,6.16E-02,4.395985949,1,,,,,,,,,
21,3261.508,27.57945,4.959359,0.027372,-1.56E-01,0.043134,9.33E+00,2.112882,1.316854123,6.57E-75,,,,,,,,,
22,3279.978,23.80405,4.942345,2.99E-02,-1.01E-01,4.90E-02,1.09E+00,0.396602,4.155388149,1,,,,,,,,,
23,3282.912,8.790189,4.921114,2.16E-02,-6.93E-02,5.22E-02,4.75E-01,0.193425,5.297042323,1.00E+00,,,,,,,,,
24,3288.514,34.91722,5.015501,7.00E-02,-2.44E-01,0.104602,2.887382,0.67593,7.201179437,1.00E+00,,,,,,,,,
25,3298.186,2.04E+01,4.87E+00,2.72E-02,-1.57E-02,4.08E-02,1.90E+00,3.96E-01,1.119501424,1,,,,,,,,,
26,3302.055,13.77563,4.886631,2.31E-02,-0.03032,5.11E-02,0.414624,0.668742,4.82140526,0.000138,,,,,,,,,
27,3308.961,46.82235,4.953159,0.031688,-6.29E-02,0.096509,1.21E+00,0.314655,7.117302397,0.0389448,,,,,,,,,
